date,ticker,close,fg_score,fg_rating,fg_bucket,ret1,fwd1,fwd5,fwd20
2011-10-24,DIA,118.88,62,greed,greed,0.0087399236317353,-0.0175807537012112,0.0038694481830416,-0.03129205921938088
2011-10-25,DIA,116.79,62,greed,greed,-0.0175807537012112,0.0138710506036474,-0.0035105745354911,-0.017552872677455356
2011-10-26,DIA,118.41,71,greed,greed,0.0138710506036474,0.0298116713115446,-0.0023646651465247,-0.0513470146102525
2011-10-27,DIA,121.94,67,greed,greed,0.0298116713115446,0.0008200754469411,-0.0143513203214695,-0.0803673938002296
2011-10-28,DIA,122.04,66,greed,greed,0.0008200754469411,-0.0221238938053097,-0.0199934447722058,-0.05686660111438882
2011-10-31,DIA,119.34,62,greed,greed,-0.0221238938053097,-0.0248030836266131,0.0093011563599798,-0.031674208144796386
2011-11-01,DIA,116.38,62,greed,greed,-0.0248030836266131,0.0150369479291974,0.0447671421206392,0.03273758377728134
2011-11-02,DIA,118.13,62,greed,greed,0.0150369479291974,0.0174384153051723,-0.0037247100651823,0.016930500296283756
2011-11-03,DIA,120.19,63,greed,greed,0.0174384153051723,-0.0049088942507696,-0.0108162076711872,-0.0010816207671186908
2011-11-04,DIA,119.6,60,greed,greed,-0.0049088942507696,0.0071070234113712,0.0161371237458194,0.011287625418060273
2011-11-07,DIA,120.45,65,greed,greed,0.0071070234113712,0.0094645080946451,0.0021585720215855,0.0078040680780406615
2011-11-08,DIA,121.59,65,greed,greed,0.0094645080946451,-0.0320750061682704,-0.005921539600296,0.003947693066863967
2011-11-09,DIA,117.69,59,greed,greed,-0.0320750061682704,0.0101962783583993,0.0119806270711189,0.01911802192199847
2011-11-10,DIA,118.89,60,greed,greed,0.0101962783583993,0.022205399949533,-0.0089158045251913,0.024308184035663222
2011-11-11,DIA,121.53,60,greed,greed,0.022205399949533,-0.0067473051921337,-0.0312679996708631,-0.010614663046161493
2011-11-14,DIA,120.71,54,neutral,neutral,-0.0067473051921337,0.0013254908458288,-0.0459779637146881,-0.009941181343716252
2011-11-15,DIA,120.87,54,neutral,neutral,0.0013254908458288,-0.0146438322164309,-0.0507156449077521,-0.021097046413502202
