date,fg_score,fg_rating
2025-08-19,55.91428571428572,greed
2025-08-20,52.60000000000001,neutral
2025-08-21,55.54285714285715,greed
2025-08-22,53.942857142857136,neutral
2025-08-25,55.4,greed
2025-08-26,59.11428571428572,greed
2025-08-27,64.42857142857143,greed
2025-08-28,61.542857142857144,greed
2025-09-01,62.45714285714286,greed
2025-09-02,61.371428571428574,greed
2025-09-03,61.17142857142858,greed
2025-09-04,58.68571428571429,greed
2025-09-05,58.228571428571435,greed
2025-09-08,57.942857142857136,greed
2025-09-09,57.94285714285714,greed
2025-09-10,60.34285714285715,greed
2025-09-11,61.34285714285714,greed
2025-09-12,64.45714285714287,greed
2025-09-15,64.37142857142858,greed
2025-09-16,63.77142857142858,greed
2025-09-17,66.54285714285714,greed
2025-09-18,66.22857142857144,greed
2025-09-19,66.51428571428572,greed
2025-09-22,56.771428571428565,greed
2025-09-23,54.57142857142857,neutral
2025-09-24,50.65714285714286,neutral
2025-09-25,51.28571428571428,neutral
2025-09-26,50.97142857142857,neutral
2025-09-29,51.40000000000001,neutral
2025-09-30,52.48571428571428,neutral
2025-10-01,54.54285714285715,neutral
2025-10-02,52.57142857142857,neutral
2025-10-03,53.971428571428575,neutral
2025-10-06,51.857142857142854,neutral
2025-10-07,52.942857142857136,neutral
2025-10-08,48.62857142857143,neutral
2025-10-09,30.14285714285714,fear
2025-10-10,29.74285714285714,fear
2025-10-13,31.9510204081633,fear
2025-10-14,31.0040816326531,fear
2025-10-15,23.1469387755102,extreme fear
2025-10-16,28.8081632653061,fear
2025-10-17,29.9714285714286,fear
2025-10-20,28.6857142857143,fear
2025-10-21,25.8857142857143,fear
2025-10-22,28.4571428571429,fear
2025-10-23,33.4857142857143,fear
2025-10-24,37.7428571428571,fear
2025-10-27,39.3428571428571,fear
2025-10-28,40.4285714285714,fear
2025-10-29,35.7428571428571,fear
2025-10-30,44.6285714285714,fear
2025-10-31,28.6285714285714,fear
2025-11-03,21.2571428571429,extreme fear
2025-11-04,29.7714285714286,fear
2025-11-05,18.0545454545455,extreme fear
2025-11-06,24.6285714285714,extreme fear
2025-11-07,29.0857142857143,fear
2025-11-10,34.3142857142857,fear
2025-11-11,32.6285714285714,fear
2025-11-12,18.1290043290043,extreme fear
2025-11-13,22.2285714285714,extreme fear
2025-11-14,22.2285714285714,extreme fear
