date,ticker,close,fg_score,fg_rating,fg_bucket,ret1,fwd1,fwd5,fwd20,price_high,fg_high,prev_price_high,prev_fg_high,price_higher_high,fg_lower_high,bearish_divergence
2014-12-26,SPY,208.44,48,neutral,neutral,0.0032247196419117,0.0013433122241413,-0.0322394933793896,-0.0273459988485894,208.44,61.0,208.0,63.0,True,True,1
2016-04-18,SPY,209.24,75,extreme greed,extreme greed,0.0070266628164405,0.0031542726056204,-0.0030108965780921,-0.0117568342573122,209.24,78.0,208.01,79.0,True,True,1
2016-07-08,SPY,212.65,78,extreme greed,extreme greed,0.0148904691452298,0.0035269221725839,0.0149541500117564,0.0260051728191864,212.65,78.0,212.08,79.0,True,True,1
2016-08-15,SPY,219.09,81,extreme greed,extreme greed,0.002883823125515,-0.0051576977497831,-0.0025560272034323,-0.0267469989502031,219.09,90.0,218.65,91.0,True,True,1
2017-11-03,SPY,258.45,66,greed,greed,0.0033386389223184,0.0015476881408398,-0.0013929193267556,0.0220158638034436,258.45,90.0,257.71,92.0,True,True,1
2017-11-21,SPY,259.99,54,neutral,neutral,0.0065427797135113,-0.0008846494095927,0.0104619408438784,0.0270779645370974,259.99,75.0,259.11,87.0,True,True,1
2017-11-28,SPY,262.87,64,greed,greed,0.0101448718441379,-0.0006086658804733,0.0012173317609465,0.0169285198006618,262.87,72.0,260.36,74.0,True,True,1
2018-07-13,SPY,279.59,47,neutral,neutral,0.0007874861295056,-0.0008941664580278,0.0003218999248901,0.0127686970206375,279.59,61.0,279.37,63.0,True,True,1
2018-07-17,SPY,280.47,49,neutral,neutral,0.0040452495167182,0.0021036117944877,0.0040646058401967,0.0122294719577849,280.47,57.0,279.59,61.0,True,True,1
2019-06-10,SPY,288.97,37,fear,fear,0.0045889101338434,-0.0002422396788596,0.0013842267363393,0.0284458594317748,288.97,39.0,288.1,44.0,True,True,1
2019-12-16,SPY,319.5,82,extreme greed,extreme greed,0.0068700365561578,0.0002190923317684,0.0053834115805948,0.0271987480438184,319.5,83.0,317.32,87.0,True,True,1
2020-02-10,SPY,334.68,57,greed,greed,0.0074653822998194,0.0017329986853114,0.0061252539739453,-0.1382215847974184,334.68,90.0,333.98,91.0,True,True,1
2020-02-12,SPY,337.42,60,greed,greed,0.0064427608423314,-0.0010669195661193,-0.0013929227668781,-0.2646849623614486,337.42,89.0,335.26,90.0,True,True,1
2020-02-19,SPY,338.34,53,neutral,neutral,0.0047812787693402,-0.0041082934326416,-0.079328486138204,-0.2906543713424365,338.34,74.0,337.6,81.0,True,True,1
2020-10-07,SPY,340.76,51,neutral,neutral,0.0174066222792821,0.0088625425519426,0.0210412020190162,0.0081582345345698,340.76,59.0,340.17,66.0,True,True,1
2021-01-07,SPY,379.1,66,greed,greed,0.0148574488020345,0.0056977050910049,-0.0016882089158534,0.0227116855710893,379.1,80.0,373.88,82.0,True,True,1
2021-01-08,SPY,381.26,71,greed,greed,0.0056977050910049,-0.0067408067985101,-0.0145832240465824,0.0242616587105912,381.26,77.0,379.1,80.0,True,True,1
2021-02-08,SPY,390.51,56,greed,greed,0.0072218926517242,-0.0006657960103454,0.0045837494558398,-0.0085529179790529,390.51,70.0,387.71,71.0,True,True,1
2021-02-11,SPY,390.71,66,greed,greed,0.0016150533223953,0.0049397251158147,-0.0017404212843284,0.0085741342683832,390.71,69.0,390.51,70.0,True,True,1
2021-03-15,SPY,396.41,56,greed,greed,0.0059635588489064,-0.0012613203501424,-0.009636487475089,0.0414974395196891,396.41,71.0,394.06,73.0,True,True,1
2021-03-17,SPY,397.26,57,greed,greed,0.0034098658786085,-0.0145496652066655,-0.0245179479434124,0.0468458943764789,397.26,63.0,396.41,66.0,True,True,1
2021-04-15,SPY,415.87,47,neutral,neutral,0.0107424960505528,0.0033423906509244,-0.0086565513261356,-0.0134417005314161,415.87,54.0,412.86,57.0,True,True,1
2023-08-30,SPY,451.01,50,neutral,neutral,0.0041187995369131,-0.0014633821866476,-0.0136582337420455,-0.0498658566328906,451.01,73.0,450.71,77.0,True,True,1
2024-02-02,SPY,494.35,75,greed,extreme greed,0.0105273916598529,-0.0036411449377971,0.0138565793466167,0.0363103064630321,494.35,76.0,491.27,79.0,True,True,1
2024-02-08,SPY,498.32,75,greed,extreme greed,0.0004416783778358,0.005779418847327,0.0074048803981376,0.0260073848129715,498.32,75.0,498.1,76.0,True,True,1
2024-05-09,SPY,520.17,47,neutral,neutral,0.005761905682631,0.001288040448315,0.0163792606263339,0.0266066862756407,520.17,47.0,518.0,57.0,True,True,1
2024-06-18,SPY,548.49,46,neutral,neutral,0.0025406689819045,-0.002716549071086,-0.0054330981421721,0.0076026910244488,548.49,61.0,547.1,65.0,True,True,1
2024-07-02,SPY,549.01,39,fear,fear,0.006729746580115,0.0044625780951168,0.0224221781024025,0.0032786288045754,549.01,50.0,548.49,52.0,True,True,1
2024-08-19,SPY,559.61,47,neutral,neutral,0.0095614367411738,-0.0016261324851235,0.002108611354336,0.0061828773610193,559.61,54.0,554.65,57.0,True,True,1
2025-01-23,SPY,609.75,46,neutral,neutral,0.0054580832398918,-0.0029192291922919,-0.0077244772447725,-0.0205658056580565,609.75,46.0,606.79,51.0,True,True,1
2025-06-24,SPY,606.78,59,greed,greed,0.0110472381904522,0.0005603348824945,0.0179142358021029,0.045551929859257,606.78,65.0,603.75,67.0,True,True,1
2025-08-22,SPY,645.31,54,neutral,neutral,0.0153567775942098,-0.0044009855728253,-0.0004029071299065,0.0277386062512592,645.31,71.0,644.95,74.0,True,True,1
2025-10-29,SPY,687.39,36,fear,fear,0.0004803073967338,-0.0109981233360972,-0.0142713743289835,,687.39,54.0,687.06,55.0,True,True,1
